Nome_Completo,Data_Nascimento,Idade,Genero,Estado_Civil,Nacionalidade,Nivel_Educacional,Profissao,Renda_Mensal,Numero_Dependentes,Residencia_Propria,Tempo_Residencia_Anos,CEP,Score_Credito,Tipo_Conta,Data_Abertura_Conta,Tempo_Relacionamento_Anos,Saldo_Atual,Limite_Cheque_Especial,Numero_Transacoes_Mes_Media,Valor_Transacao_Media,Tipo_Transacao_Mais_Comum,Frequencia_Transacoes_Online,Tem_Emprestimo_Ativo,Tipo_Emprestimo,Valor_Emprestimo,Taxa_Juros_Emprestimo,Prazo_Emprestimo_Meses,Status_Emprestimo,Canais_Utilizados,Numero_Reclamacoes_Ultimo_Ano,Satisfacao_Cliente,Saldo_Anterior_3M,Variacao_Saldo_Percentual_3M,Limite_Cartao_Credito,Utilizacao_Credito_Percentual,Numero_Emprestimos_Anteriores,Valor_Total_Emprestimos_Anteriores,Taxa_Media_Emprestimos_Anteriores,Perfil_Investidor,Segmento_Banco,Possui_Cartao_Credito,Possui_Seguro_Vida,Possui_Previdencia,Possui_Investimentos,Percentual_Pagamento_Fatura,Atraso_Medio_Pagamentos_Dias,Percentual_Comprometimento_Renda,Risco_Inadimplencia
Melissa Siqueira,1941-02-25,84,Masculino,Casado,Brasileira,Superior Completo,Aposentado,4400.21,0.0,Não,,86816-690,683,Salário,1972-11-27,52.24640657084189,214753.73,0.0,21,708.49,Depósito,Média,Não,,,,,,Telefone,0.0,Neutro,209715.46,2.4,6867.18,11.16,14,802458.6,1.87,Moderado,Alta Renda,Sim,Sim,Não,Sim,34.47,0.4,24.38,0
Catarina Cavalcante,1941-02-25,84,Feminino,Divorciado,,Superior Completo,Aposentado,5230.22,1.0,Sim,32.7,44533-651,735,Corrente,1982-12-22,42.17932922655715,20122.09,5482.08,22,265.73,Pagamento de Boleto,Alta,Não,,,,,,Mobile Banking,0.0,Neutro,22372.39,-10.06,10989.85,14.7,12,521725.52,1.76,Conservador,Média Renda,Sim,Sim,Não,Sim,71.82,11.1,44.76,1
Srta. Larissa Abreu,1941-02-25,84,Feminino,Divorciado,Brasileira,Ensino Médio,Motorista,2439.93,0.0,Não,8.1,32698-891,665,Salário,1977-09-20,47.43326488706366,11571.24,0.0,10,172.53,Pagamento de Boleto,Média,Não,,,,,,Internet Banking,0.0,Insatisfeito,10740.4,7.74,3066.41,47.61,11,203908.96,1.56,Conservador,Varejo,Não,Não,Sim,Não,,,17.0,0
Murilo Correia,1941-02-25,84,Feminino,Casado,Brasileira,Pós-Graduação,Aposentado,4215.88,0.0,Sim,,99541-139,751,Salário,2016-01-30,9.073237508555785,24788.76,0.0,7,563.21,Compra Crédito,Média,Não,,,,,,,0.0,Neutro,21727.89,14.09,4706.68,60.49,9,171897.02,1.89,Conservador,Média Renda,Sim,Sim,Não,Não,90.79,0.8,75.22,0
Danilo da Cunha,1941-02-25,84,Masculino,Solteiro,,,Aposentado,2732.02,1.0,Sim,39.3,27999-325,735,Poupança,1969-06-18,55.69062286105408,37895.91,0.0,5,1681.29,Depósito,Média,Não,,,,,,,0.0,Neutro,36376.4,4.18,7483.18,71.04,22,223218.01,1.81,Moderado,Média Renda,Não,Sim,Não,Não,,,23.02,0
Heloísa Lopes,1941-02-25,84,Feminino,Casado,Brasileira,Pós-Graduação,Aposentado,8285.92,0.0,Sim,26.9,61389-406,796,Corrente,1984-04-01,40.9034907597536,36577.47,9942.89,28,1043.95,Transferência,Média,Não,,,,,,Mobile Banking,2.0,Muito Insatisfeito,35275.01,3.69,20738.85,5.82,14,3103253.28,1.65,Moderado,Alta Renda,Sim,Não,Sim,Sim,86.35,0.4,28.87,0
Luiz Gustavo Montenegro,1941-02-25,84,Feminino,Viúvo,Portuguesa,Superior Completo,Aposentado,6348.16,0.0,Não,,90414-397,803,Corrente,1992-09-05,32.473648186173854,12561.87,8558.26,21,253.82,Compra Débito,Alta,Sim,Pessoal,14197.05,3.87,12.0,Em Dia,Agência Física,0.0,Neutro,14144.45,-11.19,22926.27,32.39,12,779855.17,0.84,Conservador,Média Renda,Não,Não,Sim,Não,,,37.2,0
Sr. Nathan Rocha,1941-02-25,84,Masculino,Casado,Brasileira,Superior Incompleto,Aposentado,3187.89,0.0,Não,14.5,40417-513,609,Corrente,1965-10-06,59.38945927446954,48040.84,4752.7,24,138.93,Compra Débito,,Sim,Pessoal,31807.34,2.23,24.0,Em Atraso,Mobile Banking,1.0,Muito Insatisfeito,61531.59,-21.92,9018.67,87.75,11,154753.22,3.71,Moderado,Média Renda,Sim,Sim,Não,Não,38.43,0.7,100.0,1
Maysa Teixeira,1941-02-25,84,Feminino,Casado,Brasileira,Ensino Médio,Advogado,2677.44,0.0,Não,3.7,82512-305,695,Corrente,2001-03-30,23.90965092402464,6471.6,3122.55,24,249.11,Saque,Média,Não,,,,,,Mobile Banking,0.0,Neutro,6704.49,-3.47,3730.54,28.55,5,64323.21,2.78,Conservador,Varejo,Sim,Sim,Não,Não,91.02,0.5,54.11,0
Bianca da Mota,1941-02-25,84,Feminino,Viúvo,Brasileira,Ensino Médio,Aposentado,2700.8,1.0,Sim,11.7,33579-231,703,Salário,1997-05-17,27.7782340862423,20979.23,0.0,11,,Transferência,Alta,Não,,,,,,Agência Física,0.0,Neutro,20671.24,1.49,4711.39,66.05,7,52850.7,2.29,Moderado,Média Renda,Sim,Não,Não,Não,62.32,1.3,92.17,1
