ID_Cliente,Nome_Completo,Data_Nascimento,Idade,Genero,Estado_Civil,Nacionalidade,Nivel_Educacional,Profissao,Renda_Mensal,Numero_Dependentes,Residencia_Propria,Tempo_Residencia_Anos,CEP,Score_Credito,ID_Conta,Tipo_Conta,Data_Abertura_Conta,Tempo_Relacionamento_Anos,Saldo_Atual,Limite_Cheque_Especial,Numero_Transacoes_Mes_Media,Valor_Transacao_Media,Tipo_Transacao_Mais_Comum,Frequencia_Transacoes_Online,Tem_Emprestimo_Ativo,Tipo_Emprestimo,Valor_Emprestimo,Taxa_Juros_Emprestimo,Prazo_Emprestimo_Meses,Status_Emprestimo,Canais_Utilizados,Numero_Reclamacoes_Ultimo_Ano,Satisfacao_Cliente,Saldo_Anterior_3M,Variacao_Saldo_Percentual_3M,Limite_Cartao_Credito,Utilizacao_Credito_Percentual,Numero_Emprestimos_Anteriores,Valor_Total_Emprestimos_Anteriores,Taxa_Media_Emprestimos_Anteriores,Perfil_Investidor,Segmento_Banco,Possui_Cartao_Credito,Possui_Seguro_Vida,Possui_Previdencia,Possui_Investimentos,Percentual_Pagamento_Fatura,Atraso_Medio_Pagamentos_Dias,Percentual_Comprometimento_Renda,Risco_Inadimplencia
1,Brenda Alves,1986-02-26,38,Feminino,Casado,Brasileira,Ensino Médio,Empresário,17034.26,0.0,Sim,3.4,17761-492,703,1,Salário,2006-09-28,18.412046543463383,53281.81,0.0,16,1358.99,Pagamento de Boleto,Alta,Sim,Veículo,99855.45,1.8,36.0,Em Atraso,Internet Banking,3.0,Muito Insatisfeito,54810.04,-2.79,29145.3,79.24,3,528427.35,2.52,Arrojado,Private,Sim,Sim,Não,Não,79.12,0.9,100.0,100.0
2,Sra. Isabelly Câmara,1953-02-25,72,Feminino,Casado,Brasileira,Ensino Médio,Aposentado,2783.34,2.0,Sim,10.3,55315-552,746,2,Salário,1981-02-19,44.016427104722794,36129.37,0.0,13,240.45,Transferência,Alta,Não,,,,,,Internet Banking,0.0,Neutro,35033.74,3.13,4334.05,21.3,11,90678.64,1.63,Moderado,Média Renda,Sim,Sim,Não,Não,61.41,0.7,45.56,50.3
3,Cauã Rocha,1970-02-26,54,Masculino,Casado,Brasileira,Ensino Fundamental,Aposentado,2045.51,1.0,Sim,8.3,44893-885,691,3,Corrente,2019-10-02,5.401779603011636,4258.06,3044.23,30,,Transferência,Média,Não,,,,,,Internet Banking,0.0,Neutro,4959.09,-14.14,5634.32,42.99,6,123881.65,2.67,Arrojado,Varejo,Não,Não,Não,Sim,,,23.15,42.5
4,Dra. Aurora Pastor,1977-02-25,48,Feminino,Casado,Brasileira,Ensino Médio,Contador,4238.71,2.0,Sim,5.3,36788-767,729,4,Corrente,2003-07-18,21.609856262833677,-1444.9,6114.67,26,328.67,Depósito,Alta,Sim,Pessoal,36591.05,2.44,48.0,Em Dia,Agência Física,3.0,Insatisfeito,-1485.57,-2.74,8666.22,25.83,4,76707.05,1.83,Arrojado,Média Renda,Sim,Sim,Não,Não,44.47,2.2,68.73,68.1
5,Ana Beatriz Alves,1994-02-26,30,Masculino,Solteiro,Brasileira,Ensino Médio,Gerente,6294.57,0.0,Não,0.9,36608-798,682,5,Corrente,2024-01-15,1.1143052703627652,8252.68,5582.31,43,620.27,Compra Crédito,Alta,Não,,,,,,Mobile Banking,1.0,,7708.2,7.06,15394.18,41.61,0,0.0,,Arrojado,Média Renda,Sim,Sim,Não,Sim,35.81,0.7,65.37,66.6
6,Henrique da Conceição,1994-02-26,30,Feminino,Casado,Italiana,Ensino Médio,Recepcionista,4045.01,0.0,Não,,20266-134,687,6,Poupança,2013-05-16,11.780971937029431,52667.14,0.0,5,518.27,Saque,Média,Sim,Pessoal,24873.93,3.41,48.0,Em Dia,Agência Física,3.0,,51864.48,1.55,5156.0,41.85,2,36565.1,1.62,Arrojado,Alta Renda,Sim,Não,Não,Sim,71.91,1.6,62.95,67.6
7,Amanda Novais,1999-02-26,25,Masculino,Casado,Outras,Superior Incompleto,Recepcionista,7668.77,0.0,Não,0.9,73620-359,720,7,Corrente,2023-07-28,1.5824777549623545,23925.05,6654.88,18,1106.0,Compra Crédito,Alta,Não,,,,,,,0.0,Neutro,28616.85,-16.4,16255.54,50.12,0,0.0,,Moderado,Média Renda,Sim,Sim,Não,Não,81.61,0.5,100.0,79.5
8,Yago Leão,1962-02-26,62,Feminino,Divorciado,Brasileira,Superior Completo,Técnico,7210.89,1.0,Sim,44.0,33044-836,862,8,Corrente,2001-07-13,23.62217659137577,25690.77,7050.08,34,676.53,Compra Débito,Baixa,Sim,Pessoal,31161.31,2.64,36.0,Em Dia,Internet Banking,0.0,Satisfeito,21427.85,19.89,24152.99,43.51,5,164242.1,1.28,Conservador,Média Renda,Sim,Sim,Não,Não,70.04,0.3,100.0,64.7
9,Pietro Pastor,1977-02-25,48,Masculino,Casado,Brasileira,Superior Incompleto,Comerciante,7492.56,0.0,Sim,9.2,37410-509,774,9,Poupança,2001-08-18,23.523613963039015,20648.24,0.0,4,2648.65,Transferência,Alta,Não,,,,,,Mobile Banking,0.0,Satisfeito,19178.31,7.66,21765.41,78.93,3,76116.92,1.58,Moderado,Média Renda,Sim,Não,Sim,Sim,90.96,0.3,100.0,73.5
10,André Teixeira,1972-02-26,52,Masculino,Casado,,Ensino Fundamental,Engenheiro,2316.66,2.0,Sim,6.2,,731,10,Corrente,2003-12-17,21.193702943189596,20230.76,2716.94,14,286.06,Depósito,Baixa,Não,,,,,,Telefone,0.0,Neutro,19700.9,2.69,5600.17,39.57,2,6362.28,2.35,Moderado,Média Renda,Sim,Não,Não,Sim,36.44,8.0,48.65,75.2
11,Otávio Fernandes,2003-02-26,21,Feminino,Solteiro,Brasileira,Ensino Médio,Analista,2837.29,0.0,Não,0.1,94994-653,678,11,Poupança,2022-06-03,2.732375085557837,50483.83,0.0,5,838.33,Depósito,Baixa,Não,,,,,,Agência Física,0.0,Neutro,47325.59,6.67,6209.69,25.52,0,0.0,,Moderado,Alta Renda,Sim,Não,Não,Sim,90.53,0.1,84.27,74.6
12,Eduardo Cunha,1951-02-26,73,Masculino,Viúvo,Brasileira,Ensino Fundamental,Analista,,0.0,Sim,22.3,35419-243,722,12,Salário,2010-05-30,14.743326488706366,3525.15,0.0,11,632.45,Compra Débito,,Não,,,,,,Telefone,0.0,Neutro,3620.71,-2.64,9723.34,59.91,3,53629.47,2.12,Conservador,Varejo,Não,Não,Não,Não,,,20.87,38.2
13,Sr. Caleb Garcia,1964-02-26,60,Feminino,Casado,Brasileira,Ensino Fundamental,Empresário,11887.52,1.0,Sim,24.0,33124-162,826,13,Corrente,1987-11-14,37.28405201916495,118257.55,11755.15,61,1129.26,Saque,Baixa,Não,,,,,,Internet Banking,0.0,Neutro,114559.08,3.23,35227.13,38.3,14,1481132.14,1.48,Arrojado,Alta Renda,Sim,Sim,Não,Não,93.52,0.4,100.0,68.6
14,Luiz Henrique Ferreira,1992-02-26,32,Feminino,Casado,Brasileira,Ensino Médio,Advogado,5178.01,0.0,Sim,5.7,63286-821,851,14,Corrente,2022-02-27,2.9952087611225187,5149.19,7674.29,35,693.38,Pagamento de Boleto,Baixa,Sim,Veículo,53557.99,1.4,36.0,Em Dia,Mobile Banking,0.0,Satisfeito,4035.06,27.61,16422.35,31.67,0,0.0,,Conservador,Média Renda,Sim,Sim,Não,Não,52.95,1.4,100.0,69.1
15,Julia Aparecida,1993-02-25,32,Masculino,Solteiro,Argentina,Ensino Médio,Estudante,4777.36,1.0,Não,0.3,,611,15,Corrente,2014-06-25,10.67214236824093,34367.09,4380.77,31,645.71,Compra Crédito,Alta,Sim,Pessoal,24208.96,2.97,36.0,Inadimplente,,2.0,Muito Insatisfeito,29697.53,15.72,6496.73,45.29,3,120098.22,3.09,Moderado,Média Renda,Sim,Sim,Sim,Sim,84.76,5.7,100.0,100.0
16,Sra. Zoe Campos,1993-02-25,32,Feminino,Casado,Brasileira,Superior Incompleto,Autônomo,3875.39,1.0,Não,1.5,88694-530,677,16,Corrente,2020-01-11,5.125256673511293,-817.57,5556.66,34,844.97,Depósito,Alta,Não,,,,,,Mobile Banking,0.0,Neutro,-900.57,-9.22,10759.95,74.98,2,104407.5,2.4,Conservador,Varejo,Sim,Não,Não,Não,82.17,1.2,100.0,85.9
17,Anna Liz Novaes,1989-02-25,36,Masculino,Casado,Brasileira,Superior Completo,Estudante,8808.28,1.0,Sim,5.0,74044-360,784,17,Premium,2021-09-04,3.477070499657769,75170.24,21098.99,40,3343.8,Pagamento de Boleto,,Sim,Imobiliário,2153140.98,0.82,300.0,Em Dia,Agência Física,0.0,Neutro,71695.08,4.85,44580.35,53.01,0,0.0,,Arrojado,Private,Sim,Não,Não,Sim,76.89,1.1,100.0,74.9
18,Luiz Miguel Oliveira,1980-02-26,44,Feminino,Casado,Brasileira,Superior Completo,Recepcionista,11795.83,1.0,Sim,19.6,76717-408,771,18,Poupança,2022-11-23,2.2587268993839835,44868.88,0.0,8,4777.48,Depósito,Baixa,Não,,,,,,Mobile Banking,0.0,Neutro,43699.24,2.68,34531.07,36.05,0,0.0,,Conservador,Alta Renda,Sim,Não,Sim,Sim,38.29,0.3,49.67,48.6
